base_config,config,policy,episode_id,jitter_seed,jitter_applied,generated_config_path,episode_length,outcome,red_alive_final,blue_alive_final,mav_alive_final,red_fire_count,blue_fire_count,red_hit_count,blue_hit_count,first_launch_side,first_hit_side,red_min_altitude_m,blue_min_altitude_m,red_speed_min_mps,red_speed_max_mps,blue_speed_min_mps,blue_speed_max_mps,death_reasons
uav_env/JSBSim/configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned.yaml,outputs/environment_audit_v2_auto/generated_configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned_jitter_seed_0.yaml,oracle_launch_window_red_vs_blue_zero,0,0,1,outputs/environment_audit_v2_auto/generated_configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned_jitter_seed_0.yaml,910,red_win,3,0,1,2,0,2,0,red,red,5665.364316127879,3456.826452660424,212.5489050530604,343.74911944775755,226.53975388433727,312.66397678672456,blue:missile_hit:2
uav_env/JSBSim/configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned.yaml,outputs/environment_audit_v2_auto/generated_configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned_jitter_seed_0.yaml,oracle_launch_window_red_vs_blue_zero,1,0,1,outputs/environment_audit_v2_auto/generated_configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned_jitter_seed_0.yaml,910,red_win,3,0,1,2,0,2,0,red,red,5665.364316127879,3456.826452660424,212.5489050530604,343.74911944775755,226.53975388433727,312.66397678672456,blue:missile_hit:2
uav_env/JSBSim/configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned.yaml,outputs/environment_audit_v2_auto/generated_configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned_jitter_seed_0.yaml,obs_limited_chase_red_vs_blue_rule,0,0,1,outputs/environment_audit_v2_auto/generated_configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned_jitter_seed_0.yaml,1000,draw_or_timeout,1,2,1,0,0,0,0,,,2454.8890640405953,4962.083542459792,212.59131123864773,347.5405598613148,231.51883807628775,354.4428853116685,red:Crash_LowAlt:2
uav_env/JSBSim/configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned.yaml,outputs/environment_audit_v2_auto/generated_configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned_jitter_seed_0.yaml,obs_limited_chase_red_vs_blue_rule,1,0,1,outputs/environment_audit_v2_auto/generated_configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned_jitter_seed_0.yaml,1000,draw_or_timeout,1,2,1,0,0,0,0,,,2454.8890640405953,4962.083542459792,212.59131123864773,347.5405598613148,231.51883807628775,354.4428853116685,red:Crash_LowAlt:2
uav_env/JSBSim/configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned.yaml,outputs/environment_audit_v2_auto/generated_configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned_jitter_seed_0.yaml,obs_limited_chase_red_vs_blue_zero,0,0,1,outputs/environment_audit_v2_auto/generated_configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned_jitter_seed_0.yaml,1000,draw_or_timeout,2,1,1,1,0,1,0,red,red,2465.623763980025,3456.826452660424,136.4843742969125,342.39819764925255,226.53975388433727,312.66397678672456,blue:missile_hit:1;red:Crash_LowAlt:1
uav_env/JSBSim/configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned.yaml,outputs/environment_audit_v2_auto/generated_configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned_jitter_seed_0.yaml,obs_limited_chase_red_vs_blue_zero,1,0,1,outputs/environment_audit_v2_auto/generated_configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned_jitter_seed_0.yaml,1000,draw_or_timeout,2,1,1,1,0,1,0,red,red,2465.623763980025,3456.826452660424,136.4843742969125,342.39819764925255,226.53975388433727,312.66397678672456,blue:missile_hit:1;red:Crash_LowAlt:1
uav_env/JSBSim/configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned.yaml,outputs/environment_audit_v2_auto/generated_configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned_jitter_seed_0.yaml,obs_limited_chase_red_vs_blue_rule_with_mav_shared,0,0,1,outputs/environment_audit_v2_auto/generated_configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned_jitter_seed_0.yaml,1000,draw_or_timeout,1,2,1,0,0,0,0,,,2454.8890640405953,4962.083542459792,212.59131123864773,347.5405598613148,231.51883807628775,354.4428853116685,red:Crash_LowAlt:2
uav_env/JSBSim/configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned.yaml,outputs/environment_audit_v2_auto/generated_configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned_jitter_seed_0.yaml,obs_limited_chase_red_vs_blue_rule_with_mav_shared,1,0,1,outputs/environment_audit_v2_auto/generated_configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned_jitter_seed_0.yaml,1000,draw_or_timeout,1,2,1,0,0,0,0,,,2454.8890640405953,4962.083542459792,212.59131123864773,347.5405598613148,231.51883807628775,354.4428853116685,red:Crash_LowAlt:2
uav_env/JSBSim/configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned.yaml,outputs/environment_audit_v2_auto/generated_configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned_jitter_seed_0.yaml,red_rule_vs_blue_zero,0,0,1,outputs/environment_audit_v2_auto/generated_configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned_jitter_seed_0.yaml,878,red_win,3,0,1,2,0,2,0,red,red,5514.969700236055,3456.826452660424,212.59131123864773,350.8704309966132,226.53975388433727,312.66397678672456,blue:missile_hit:2
uav_env/JSBSim/configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned.yaml,outputs/environment_audit_v2_auto/generated_configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned_jitter_seed_0.yaml,red_rule_vs_blue_zero,1,0,1,outputs/environment_audit_v2_auto/generated_configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned_jitter_seed_0.yaml,878,red_win,3,0,1,2,0,2,0,red,red,5514.969700236055,3456.826452660424,212.59131123864773,350.8704309966132,226.53975388433727,312.66397678672456,blue:missile_hit:2
