base_config,config,policy,episode_id,jitter_seed,jitter_applied,generated_config_path,agent_id,step,altitude_m,speed_mps,roll_rad,pitch_rad,yaw_rad,vertical_speed_mps,action_pitch,action_heading,action_speed,nearest_enemy_distance_m,missile_warning,death_reason
uav_env/JSBSim/configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned.yaml,outputs/environment_audit_v2_auto/generated_configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned_jitter_seed_0.yaml,obs_limited_chase_red_vs_blue_rule,0,0,1,outputs/environment_audit_v2_auto/generated_configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned_jitter_seed_0.yaml,red_1,218,4957.843320732219,336.5779434404987,2.421675484009116,-0.8247630065246299,5.956551765145457,-221.69765001672417,0.05000000074505806,0.7684755325317383,0.550000011920929,,0,Crash_LowAlt
uav_env/JSBSim/configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned.yaml,outputs/environment_audit_v2_auto/generated_configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned_jitter_seed_0.yaml,obs_limited_chase_red_vs_blue_rule,0,0,1,outputs/environment_audit_v2_auto/generated_configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned_jitter_seed_0.yaml,red_1,219,4912.634361874867,337.32246408385595,2.274863664303357,-0.8585543267860384,6.030664235992036,-230.22331007510596,0.05000000074505806,0.7716178894042969,0.550000011920929,,0,Crash_LowAlt
uav_env/JSBSim/configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned.yaml,outputs/environment_audit_v2_auto/generated_configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned_jitter_seed_0.yaml,obs_limited_chase_red_vs_blue_rule,0,0,1,outputs/environment_audit_v2_auto/generated_configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned_jitter_seed_0.yaml,red_1,220,4865.792215891296,337.9573987952403,2.237751827700664,-0.8826188510911955,6.0980740298472655,-238.13856430725565,0.05000000074505806,0.7900105714797974,0.550000011920929,,0,Crash_LowAlt
uav_env/JSBSim/configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned.yaml,outputs/environment_audit_v2_auto/generated_configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned_jitter_seed_0.yaml,obs_limited_chase_red_vs_blue_rule,0,0,1,outputs/environment_audit_v2_auto/generated_configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned_jitter_seed_0.yaml,red_1,221,4817.385243697858,338.5023660390978,2.3170677980263275,-0.9057364243628365,6.154906711607411,-245.95054258248496,0.05000000074505806,0.8138640522956848,0.550000011920929,,0,Crash_LowAlt
uav_env/JSBSim/configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned.yaml,outputs/environment_audit_v2_auto/generated_configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned_jitter_seed_0.yaml,obs_limited_chase_red_vs_blue_rule,0,0,1,outputs/environment_audit_v2_auto/generated_configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned_jitter_seed_0.yaml,red_1,222,4767.390645300883,339.0322688204704,2.518779942623077,-0.934371257769608,6.198412394007147,-254.06743468325882,0.05000000074505806,0.8453628420829773,0.550000011920929,,0,Crash_LowAlt
uav_env/JSBSim/configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned.yaml,outputs/environment_audit_v2_auto/generated_configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned_jitter_seed_0.yaml,obs_limited_chase_red_vs_blue_rule,0,0,1,outputs/environment_audit_v2_auto/generated_configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned_jitter_seed_0.yaml,red_1,223,4715.729965018425,339.6900392767859,2.851207559294555,-0.9734148700791906,6.222371997606036,-262.6017398596787,0.05000000074505806,0.8920984268188477,0.550000011920929,,0,Crash_LowAlt
uav_env/JSBSim/configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned.yaml,outputs/environment_audit_v2_auto/generated_configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned_jitter_seed_0.yaml,obs_limited_chase_red_vs_blue_rule,0,0,1,outputs/environment_audit_v2_auto/generated_configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned_jitter_seed_0.yaml,red_1,224,4662.312840582436,340.26198319528805,3.0929604916229794,-1.021369739689713,6.223571718705695,-271.64219243351477,0.05000000074505806,0.9649201035499573,0.550000011920929,,0,Crash_LowAlt
uav_env/JSBSim/configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned.yaml,outputs/environment_audit_v2_auto/generated_configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned_jitter_seed_0.yaml,obs_limited_chase_red_vs_blue_rule,0,0,1,outputs/environment_audit_v2_auto/generated_configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned_jitter_seed_0.yaml,red_1,225,4607.088940526578,340.7833894163743,-2.9657488198917186,-1.0716551115823327,6.1977371665249725,-280.4633107659476,0.05000000074505806,-0.9825986623764038,0.550000011920929,,0,Crash_LowAlt
uav_env/JSBSim/configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned.yaml,outputs/environment_audit_v2_auto/generated_configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned_jitter_seed_0.yaml,obs_limited_chase_red_vs_blue_rule,0,0,1,outputs/environment_audit_v2_auto/generated_configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned_jitter_seed_0.yaml,red_1,226,4550.163409767178,341.1592273389971,-2.7465379635190565,-1.1201249930914243,6.144501552326585,-288.78318263237514,0.05000000074505806,-0.9452465176582336,0.550000011920929,,0,Crash_LowAlt
uav_env/JSBSim/configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned.yaml,outputs/environment_audit_v2_auto/generated_configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned_jitter_seed_0.yaml,obs_limited_chase_red_vs_blue_rule,0,0,1,outputs/environment_audit_v2_auto/generated_configs/hetero_mav_shared_geo_3v2_f16_dynamics_f22_visual_mav_tam_paper_reward_v7_role_aligned_jitter_seed_0.yaml,red_1,227,4491.592852551529,341.306723188947,-2.639696448720998,-1.1622201755737145,6.069302838323234,-296.6756568416801,0.05000000074505806,-0.9230595827102661,0.550000011920929,,0,Crash_LowAlt
