iteration,total_steps,average_team_return,average_episode_length,average_red_alive,average_blue_alive,actor_loss,critic_loss,entropy,action_mean_abs,action_std,action_min,action_max,value_mean,value_std,nan_detected,opponent_policy,episodes_completed
39,4992,1.8043,537.0,1.11,1.11,0.000058,0.086287,0.218127,0.279172,0.324098,-0.841950,1.000000,0.499860,0.040028,0,rule_nearest,9
40,5120,1.8043,537.0,1.11,1.11,-0.003820,0.023544,0.218268,0.302331,0.352816,-0.956075,1.000000,0.088535,0.221664,0,rule_nearest,9
41,5248,1.8043,537.0,1.11,1.11,-0.006548,0.063245,0.218233,0.400915,0.321363,-0.800289,1.000000,-0.262208,0.054078,0,rule_nearest,9
42,5376,0.1089,529.2,1.00,1.10,-0.002068,0.503874,0.218168,0.351174,0.351043,-0.842793,1.000000,0.131576,0.166727,0,rule_nearest,10
43,5504,0.1089,529.2,1.00,1.10,-0.004863,0.025074,0.218292,0.270907,0.319249,-0.929076,1.000000,0.230672,0.054729,0,rule_nearest,10
44,5632,0.1089,529.2,1.00,1.10,-0.005280,0.007544,0.219062,0.363691,0.347806,-1.000000,1.000000,-0.025788,0.104163,0,rule_nearest,10
45,5760,0.1089,529.2,1.00,1.10,-0.003034,0.043406,0.220082,0.435557,0.327879,-0.741435,1.000000,-0.079926,0.033056,0,rule_nearest,10
46,5888,0.1089,529.2,1.00,1.10,-0.004010,0.000451,0.220951,0.448265,0.296528,-0.652040,1.000000,-0.038394,0.001741,0,rule_nearest,10
47,6016,0.1089,529.2,1.00,1.10,-0.002239,0.000105,0.221460,0.485405,0.297055,-0.682572,1.000000,-0.014608,0.001100,0,rule_nearest,10
48,6144,0.1089,529.2,1.00,1.10,-0.002865,0.000016,0.221793,0.467054,0.301931,-0.622645,1.000000,0.009699,0.001362,0,rule_nearest,10
49,6272,0.1089,529.2,1.00,1.10,-0.002002,0.000118,0.222330,0.487773,0.306259,-0.614773,1.000000,0.025700,0.000552,0,rule_nearest,10
50,6400,-1.9716,603.1,0.90,1.20,-0.006435,0.085799,0.222589,0.337434,0.374089,-1.000000,1.000000,0.031560,0.074820,0,rule_nearest,11
51,6528,-1.9716,603.1,0.90,1.20,-0.008245,0.368420,0.222716,0.330386,0.352036,-1.000000,1.000000,0.218638,0.070469,0,rule_nearest,11
52,6656,-1.9716,603.1,0.90,1.20,-0.004024,0.011297,0.223191,0.357662,0.351786,-0.859657,1.000000,-0.057563,0.042048,0,rule_nearest,11
53,6784,-1.9716,603.1,0.90,1.20,-0.005982,0.047094,0.223851,0.432129,0.319396,-1.000000,1.000000,-0.125600,0.058947,0,rule_nearest,11
54,6912,-1.9716,603.1,0.90,1.20,-0.003502,0.004615,0.224546,0.441067,0.306827,-0.657359,1.000000,-0.108365,0.011553,0,rule_nearest,11
55,7040,-1.9716,603.1,0.90,1.20,-0.004941,0.001492,0.225187,0.449768,0.314026,-0.877862,1.000000,-0.075729,0.006546,0,rule_nearest,11
56,7168,-1.9716,603.1,0.90,1.20,-0.004995,0.000165,0.225821,0.421639,0.318400,-0.814768,1.000000,-0.017522,0.005044,0,rule_nearest,11
57,7296,-0.4151,665.1,1.00,1.20,-0.002336,0.392606,0.226367,0.412460,0.337676,-0.774752,1.000000,0.003845,0.118507,0,rule_nearest,12
