Iteration,Step,ActorLoss,CriticLoss,Entropy,RedMeanReward,RedWinRate,RedRewardStd,WinRateRecent,RedMissiles,BlueMissiles,Episodes,RedWins,BlueWins,Draws,RedAliveMean,BlueAliveMean,RedDeathsMissile,RedDeathsCrash,BlueDeathsMissile,BlueDeathsCrash,RedMissileHits,BlueMissileHits,RedMissileHitRate,BlueMissileHitRate,KD_Red,RWR,RewardVersion,ActionStdMean,ActionStdMin,ActionStdMax,ActionLogStdMean,LaunchDiagRedGeometryOk,LaunchDiagBlueGeometryOk,LaunchDiagRedLaunches,LaunchDiagBlueLaunches,LaunchDiagRedRangeOk,LaunchDiagRedAoOk,LaunchDiagRedTaOk,LaunchDiagBlueRangeOk,LaunchDiagBlueAoOk,LaunchDiagBlueTaOk,LaunchDiagRedEngagedBlocked,LaunchDiagBlueEngagedBlocked,LaunchDiagRedCooldownBlocked,LaunchDiagBlueCooldownBlocked,LaunchDiagRedKillCooldownBlocked,LaunchDiagBlueKillCooldownBlocked,LaunchDiagRedLockMature,LaunchDiagBlueLockMature,RedGeometryToLaunchRate,BlueGeometryToLaunchRate,RedRangeToGeometryRate,BlueRangeToGeometryRate,RedLaunchRangeMean,RedLaunchRangeP25,RedLaunchRangeP50,RedLaunchRangeP75,RedLaunchAoDegMean,RedLaunchAoDegP50,RedLaunchTaDegMean,RedLaunchTaDegP50,RedLaunchClosingSpeedMean,RedLaunchAltitudeDiffAbsMean,RedLaunchHitRateFromQualityRecords,BlueLaunchRangeMean,BlueLaunchRangeP25,BlueLaunchRangeP50,BlueLaunchRangeP75,BlueLaunchAoDegMean,BlueLaunchAoDegP50,BlueLaunchTaDegMean,BlueLaunchTaDegP50,BlueLaunchClosingSpeedMean,BlueLaunchAltitudeDiffAbsMean,BlueLaunchHitRateFromQualityRecords,RedActionRawAbsMean,RedActionRawClipFrac,RedActionClampedFrac,RedActionRawClipFracPitch,RedActionRawClipFracHeading,RedActionRawClipFracVelocity
1,2000,-0.016983,27.840494,0.217802,-73.4308,0.000000,1.9577,0.000000,0.0,2.1,14,0,14,0,0.0000,2.0000,28,0,0,0,0,28,0.000000,0.756757,0.000000,0.000000,fixed_ta_alt_eq17_3dlos_v1,0.301694,0.301381,0.301862,-1.198344,0,655,0,37,86346,34116,1643,56837,53634,4110,0,29509,0,23,0,0,0,60,0.000000,0.056489,0.000000,0.011524,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3617.839076,3074.055459,3618.961041,4300.917520,30.747892,30.061654,98.878447,93.279621,217.294565,861.764491,0.882353,0.252459,0.001196,0.001196,0.001104,0.002484,0.000000
2,4000,-0.020187,20.252013,0.221976,-74.2496,0.000000,2.3418,0.000000,0.0,2.2,27,0,27,0,0.0000,2.0000,54,0,0,0,0,54,0.000000,0.794118,0.000000,0.000000,fixed_ta_alt_eq17_3dlos_v1,0.302505,0.301513,0.303462,-1.195660,0,551,0,31,78612,26200,2788,52758,44723,8461,0,25854,0,0,0,0,0,31,0.000000,0.056261,0.000000,0.010444,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3741.474672,3098.222226,3663.496183,4463.794427,34.195308,35.552819,105.801548,93.665853,178.718096,917.611522,0.896552,0.252550,0.001922,0.001922,0.002124,0.002731,0.000910
3,6000,-0.018013,19.580821,0.224931,-75.3072,0.000000,3.0809,0.000000,0.0,2.3,40,0,40,0,0.0000,2.0000,77,3,0,0,0,77,0.000000,0.846154,0.000000,0.000000,fixed_ta_alt_eq17_3dlos_v1,0.303426,0.302019,0.304961,-1.192625,0,390,0,23,72736,24815,6482,48902,36618,12793,0,23834,0,17,0,0,0,40,0.000000,0.058974,0.000000,0.007975,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4098.557912,3661.762408,3916.219778,4605.031104,31.986486,31.604989,114.080341,94.112745,154.808021,1136.001743,0.750000,0.258323,0.001421,0.001421,0.001640,0.002296,0.000328
4,8000,-0.022915,14.642047,0.228483,-75.2081,0.000000,3.0409,0.000000,0.0,2.2,53,0,53,0,0.0000,2.0000,102,4,0,0,0,102,0.000000,0.803150,0.000000,0.000000,fixed_ta_alt_eq17_3dlos_v1,0.304816,0.304279,0.305770,-1.188049,0,692,0,36,84532,28087,6617,57478,45215,13012,0,27054,0,38,0,0,0,74,0.000000,0.052023,0.000000,0.012039,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3678.809916,3294.329735,3570.673121,4203.700475,30.957939,30.445606,107.183927,93.865987,182.523899,1016.546720,0.843750,0.261194,0.001601,0.001601,0.003390,0.000847,0.000565
5,10000,-0.025281,9.238443,0.232976,-75.5354,0.000000,3.3249,0.000000,0.0,2.3,64,0,64,0,0.0000,2.0000,124,4,0,0,0,124,0.000000,0.810458,0.000000,0.000000,fixed_ta_alt_eq17_3dlos_v1,0.305870,0.303977,0.307026,-1.184604,0,435,0,26,73514,24040,8143,49250,37719,11956,0,25188,0,26,0,0,0,52,0.000000,0.059770,0.000000,0.008832,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3704.046053,2859.068139,3563.278287,4350.244537,35.138001,38.448900,107.112784,93.528309,159.274144,1189.634510,0.851852,0.263383,0.002778,0.002778,0.003205,0.001923,0.003205
6,12000,-0.023184,10.761383,0.239366,-75.6806,0.000000,3.5279,0.000000,0.0,2.3,78,0,78,0,0.0000,2.0000,150,6,0,0,0,150,0.000000,0.833333,0.000000,0.000000,fixed_ta_alt_eq17_3dlos_v1,0.309098,0.307741,0.311210,-1.174109,0,537,0,27,80730,30045,6458,57676,46710,11403,0,23054,0,46,0,0,0,73,0.000000,0.050279,0.000000,0.009311,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3579.127592,3080.452806,3630.065440,3955.361226,30.876906,28.440840,101.156948,93.681190,201.480288,946.788677,0.888889,0.271309,0.002463,0.002463,0.001478,0.003546,0.002364
7,14000,-0.022725,16.938943,0.247456,-75.3234,0.000000,4.1422,0.000000,0.0,2.1,92,0,92,0,0.0000,2.0000,173,11,0,0,0,173,0.000000,0.835749,0.000000,0.000000,fixed_ta_alt_eq17_3dlos_v1,0.310674,0.309060,0.313124,-1.169028,0,472,0,27,77372,29122,7624,54149,42333,12266,0,23223,0,0,0,0,0,27,0.000000,0.057203,0.000000,0.008717,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3587.906044,3139.245265,3464.459528,3952.972290,31.139881,31.112140,104.951671,93.882406,181.789669,1219.605454,0.851852,0.270995,0.002981,0.002981,0.002775,0.004009,0.002158
