team,shooter_id,target_id,missile_id,current_step,physics_frame,range_m,AO_rad,AO_deg,TA_rad,TA_deg,relative_distance_3d_m,horizontal_range_m,altitude_diff_m,shooter_speed_mps,target_speed_mps,closing_speed_mps,shooter_alt_m,target_alt_m,target_alive_at_launch,termination_reason,is_success,flight_time_sec,launch_step,termination_step,step_delta,target_alive_at_termination
blue,blue_0,red_0,m0,61,732,3794.323744358555,0.39054347862950545,22.376493041828322,1.598944105087262,91.61274889882249,3882.455246408759,3794.323744358555,-822.5363599037901,331.10211044355646,258.83436545271866,271.58689791985427,5861.456935983373,5038.920576079583,True,hit,True,6.433333333333316,61,94,33,False
blue,blue_0,red_1,m0,65,770,3997.082149618836,0.5766450220738896,33.039326042062065,1.6200437479875303,92.82166938624104,4037.149168899859,3997.082149618836,-567.3691048579276,334.07908498757945,269.4040268303925,250.5014344448767,5798.617435315473,5231.248330457545,True,hit,True,6.449999999999982,65,97,32,False
blue,blue_0,red_0,m0,62,741,3925.0077315245817,0.39187744286205195,22.452923562374643,1.629505742254745,93.36380172352942,4006.4996382838603,3925.0077315245817,-803.9612298120865,332.16889554975467,261.47238444396186,266.083195454226,5825.619490573624,5021.658260761537,True,hit,True,7.04999999999998,62,97,35,False
blue,blue_0,red_0,m1,75,889,2448.892194471672,0.5286518490693102,30.28951978345847,1.6050004591502416,91.95975242586813,2589.3671611675613,2448.892194471672,-841.2783815055955,333.95341381376346,259.5209474903239,224.25165924641618,5796.58463692457,4955.306255418975,True,hit,True,4.549999999999989,75,97,22,False
blue,blue_0,red_0,m1,69,819,3271.8989963806366,0.47235602143857647,27.064006456021463,1.6406459165299863,94.00208669254096,3440.3513378306698,3271.8989963806366,-1063.3410954141955,336.5646500339921,257.71248531867195,239.73365370822225,5730.926138880511,4667.585043466315,True,hit,True,6.2333333333333165,69,100,31,False
blue,blue_0,red_1,m1,64,767,3995.7485231929995,0.5541218900962134,31.748845638325076,1.63065325763301,93.42954951163036,4079.7164460769923,3995.7485231929995,-823.4561432110695,333.0667005536008,255.8863548234333,256.7910397673506,5820.041015078347,4996.584871867278,True,hit,True,7.583333333333312,64,102,38,False
blue,blue_0,red_1,m0,69,827,3326.309469097837,0.557709700716967,31.954412044586473,1.6078746418459455,92.12443096388151,3652.823438655079,3326.309469097837,-1509.5643046183832,331.47805284439465,269.45487467510804,193.65745858433598,5884.731980172261,4375.167675553877,True,hit,True,6.583333333333315,69,102,33,False
blue,blue_0,red_1,m1,73,874,3074.055458948595,0.7729751030702593,44.28821107461566,1.6482991372253089,94.44058393806512,3214.040641572722,3074.055458948595,-938.2112134213367,339.76920239004124,273.2426160303434,198.95341098113488,5640.706326801821,4702.495113380484,True,hit,True,6.733333333333315,73,107,34,False
blue,blue_0,red_0,m1,66,786,3580.676908170253,0.5253836416013635,30.10226528897199,1.6208485422449272,92.86778070056626,3613.934981312107,3580.676908170253,-489.16145437642444,336.44571721689306,254.73171250739495,262.20840088183616,5731.070024333095,5241.90856995667,True,hit,True,6.06666666666665,66,96,30,False
blue,blue_0,red_1,m0,60,713,4410.298519072073,0.5246748350886276,30.06165366730083,1.6280365030635469,93.27962051877856,4437.252137073802,4410.298519072073,-488.33748641355123,332.3369505794642,256.9645785520466,263.1987693260685,5847.929655031508,5359.592168617957,True,hit,True,6.749999999999981,60,94,34,False
blue,blue_0,red_0,m1,66,783,3618.961040717162,0.44885791425537425,25.717664087877935,1.5897026583954803,91.08325300678827,3657.2995272314406,3618.961040717162,-528.1674144233766,336.11537101955884,247.79645364299293,278.94815063466757,5757.7996668584765,5229.6322524351,True,kill_cooldown_blocked,False,6.133333333333317,66,96,30,True
blue,blue_0,red_1,m0,58,694,4399.864115164851,0.43647397185423076,25.008116454559303,1.61340063566914,92.4410470875659,4537.754076391363,4399.864115164851,-1110.1386516517014,331.0955700633375,269.148893173017,255.4750018180295,5848.988916791956,4738.850265140255,True,hit,True,8.099999999999982,58,99,41,False
blue,blue_0,red_0,m0,68,808,3587.866311909612,0.5194517497435316,29.7623929209902,1.6211617932118476,92.88572865889918,3624.5180519312125,3587.866311909612,-514.1463183174155,338.0022839519038,252.6713394431589,267.3051668385127,5601.398782868852,5087.252464551437,True,hit,True,6.349999999999983,68,99,31,False
blue,blue_0,red_0,m1,70,835,3024.082237612334,0.589030964003899,33.748988239945724,1.6070066632895206,92.0746994558905,3071.440520302565,3024.082237612334,-537.2834353617009,334.9841144082082,254.34847054112788,253.6920458611955,5708.982601513395,5171.699166151694,True,hit,True,5.18333333333332,70,96,26,False
