Iteration,Step,ActorLoss,CriticLoss,Entropy,RedMeanReward,RedWinRate,RedRewardStd,WinRateRecent,RedMissiles,BlueMissiles,Episodes,RedWins,BlueWins,Draws,RedAliveMean,BlueAliveMean,RedDeathsMissile,RedDeathsCrash,BlueDeathsMissile,BlueDeathsCrash,RedMissileHits,BlueMissileHits,RedMissileHitRate,BlueMissileHitRate,KD_Red,RWR
1,10,-0.053515,0.002259,0.214664,0.2144,0.000000,0.0000,0.000000,0.0,0.0,1,0,0,1,1.0000,1.0000,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
2,20,-0.016132,0.000556,0.214091,0.2176,0.000000,0.0032,0.000000,0.0,0.0,2,0,0,2,1.0000,1.0000,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
