Iteration,Step,ActorLoss,CriticLoss,Entropy,RedMeanReward,RedWinRate,RedRewardStd,WinRateRecent,RedMissiles,BlueMissiles,Episodes,RedWins,BlueWins,Draws,RedAliveMean,BlueAliveMean,RedDeathsMissile,RedDeathsCrash,BlueDeathsMissile,BlueDeathsCrash,RedMissileHits,BlueMissileHits,RedMissileHitRate,BlueMissileHitRate,KD_Red,RWR
1,10,-0.090689,0.014801,0.214732,0.3014,0.000000,0.0000,0.000000,0.0,0.0,1,0,0,1,1.0000,1.0000,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
2,20,-0.033353,0.007657,0.214678,0.3007,0.000000,0.0007,0.000000,0.0,0.0,2,0,0,2,1.0000,1.0000,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000
