policy,episodes,red_min_altitude_m,blue_min_altitude_m,red_speed_min_mps,blue_speed_min_mps
zero_action_red_vs_blue_rule,9,3151.4769278017197,5247.117695715505,235.35359485033146,246.5499538832485
level_flight_red_vs_blue_rule,9,3461.1699189729184,5343.603387547404,222.39863826396922,251.05987864901655
straight_chase_red_vs_blue_rule,9,2498.375302234438,5470.862093759203,237.81442239141583,244.70850123325985
oracle_geometry_red_vs_blue_rule,9,2498.375302234438,5470.862093759203,237.81442239141583,244.70850123325985
red_rule_vs_blue_zero,9,3601.277149432615,3362.635324504951,230.92618478188876,235.49864243593188
blue_rule_only_strength_probe,9,3461.1699189729184,5343.603387547404,222.39863826396922,251.05987864901655
red_rule_vs_blue_rule_symmetric_all_attack,3,2486.978488399199,3394.48815074392,251.0493330937547,156.1211040481676
