,seed,seed,total_steps,total_steps,runner_normal,runner_normal,finite,finite,identity_max,identity_max,paper_contract,paper_contract,episodes,episodes,avg_return,avg_return,timeout_rate,timeout_rate,mav_survival,mav_survival,blue_loss,blue_loss,red_launch,red_launch,red_hit,red_hit,red_kill,red_kill,uav_angle,uav_angle,uav_distance,uav_distance,mav_safety,mav_safety,geometry_rate,geometry_rate,launch_gate_available,launch_gate_available,dead_after_credit,dead_after_credit,dead_before_records,dead_before_records,technical_pass,technical_pass,evidence_pass,evidence_pass
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
candidate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
interval_midpoint,1.0,1.0,20480.0,0.0,1.0,0.0,1.0,0.0,4.440892098500626e-16,0.0,1.0,0.0,59.666666666666664,4.509249752822894,-16.950569178725935,3.1112114063233154,0.01597222222222222,0.015636569790552363,0.0,0.0,2.3333333333333335,1.5275252316519468,3.0,2.0,1.0,0.0,1.0,0.0,-0.17502174680991836,0.013162504610460788,-0.5207214353883162,0.1441421094040028,-0.329955707684861,0.0771904666942573,,,0.0,0.0,0.0,0.0,15377.333333333334,649.0457097411037,1.0,0.0,0.0,0.0
lower_feasible_bound,1.0,1.0,20480.0,0.0,1.0,0.0,1.0,0.0,2.220446049250313e-16,0.0,1.0,0.0,50.0,6.0,-14.934371774123518,2.543360907286349,0.05606060606060606,0.05109004636390111,0.06272727272727273,0.06018566315649248,2.3333333333333335,2.0816659994661326,4.666666666666667,4.041451884327381,2.3333333333333335,2.0816659994661326,2.3333333333333335,2.0816659994661326,-0.1679084686506138,0.03439631117974869,-0.4173115921821451,0.1288634839566879,-0.28736112371564376,0.12344889624119962,,,0.0,0.0,0.0,0.0,18764.666666666668,2272.176342921767,1.0,0.0,0.0,0.0
upper_feasible_bound,1.0,1.0,20480.0,0.0,1.0,0.0,1.0,0.0,8.881784197001252e-16,0.0,1.0,0.0,52.666666666666664,13.279056191361393,-23.27012022593875,3.3265078363457805,0.08148148148148149,0.08981004187394179,0.007407407407407408,0.012830005981991684,0.6666666666666666,0.5773502691896258,2.0,1.0,0.3333333333333333,0.5773502691896258,0.3333333333333333,0.5773502691896258,-0.21446118282852988,0.01996609460241767,-0.4790196264437852,0.2787701891078926,-0.2964766487402015,0.04991552637210804,,,0.0,0.0,0.0,0.0,17535.0,2354.576607375517,1.0,0.0,0.0,0.0
