team,shooter_id,target_id,missile_id,current_step,physics_frame,range_m,AO_rad,AO_deg,TA_rad,TA_deg,relative_distance_3d_m,horizontal_range_m,altitude_diff_m,shooter_speed_mps,target_speed_mps,closing_speed_mps,shooter_alt_m,target_alt_m,target_alive_at_launch,raw_termination_reason,termination_reason,is_success,flight_time_sec,launch_step,termination_step,step_delta,target_alive_at_termination
blue,blue_0,red_2,m0,41,483,6155.709512605225,0.2799969419365301,16.04264304953274,1.5857310604674257,90.85569720758784,6155.709512605225,6142.592022858878,-401.65015161073643,263.5863300875696,263.6259382959853,276.8381941776648,6065.139466654959,5663.489315044222,True,hit,hit,True,8.683333333333344,41,84,43,False
blue,blue_1,red_1,m0,47,554,5494.373658116335,0.08752438781743328,5.014778026405166,1.616713313975203,92.63084957338786,5494.373658116335,5476.23265407384,-446.11412604629913,257.36466234404526,268.60214513057093,282.74764835540935,6057.702453170708,5611.588327124409,True,hit,hit,True,7.649999999999978,47,85,38,False
blue,blue_0,red_1,m1,49,581,5391.031509280728,0.07076110003751669,4.054312385852717,1.6877050095611628,96.69837411094088,5391.031509280728,5365.292888763262,-526.1681782890373,254.91079686534096,256.1538870848369,255.7955115910423,6063.916995703944,5537.748817414907,True,hit,hit,True,7.98333333333331,49,89,40,False
blue,blue_0,red_0,m1,53,625,5163.252893399705,0.05567458654703325,3.1899188352808365,1.6312625632412256,93.46446015141477,5163.252893399705,5143.622735822612,-449.80617239998355,253.56393646493333,258.0735588297707,268.8497353435831,6036.434202122868,5586.628029722884,True,hit,hit,True,7.416666666666646,53,90,37,False
blue,blue_0,red_2,m0,45,534,5790.201196293965,0.15571147311122696,8.921610231038107,1.684144056264243,96.49434651598418,5790.201196293965,5770.124026686435,-481.7661364396463,257.9414652725498,260.4358172144712,259.2043509219409,6074.689177176297,5592.92304073665,True,p_hit_fail,miss,False,9.283333333333374,45,91,46,True
blue,blue_0,red_2,m0,45,539,5903.102212061876,0.2220644457427164,12.72335552096951,1.6741784838919198,95.92336127861789,5903.102212061876,5885.079736982204,-460.9253902870769,258.8701056615723,261.4145907887778,250.54779782327736,6061.342662336754,5600.417272049677,True,p_hit_fail,miss,False,9.366666666666712,45,92,47,True
blue,blue_0,red_2,m2,54,648,5171.233853520104,0.2500283446833904,14.325568909000486,1.5908416660556917,91.14851333855145,5171.233853520104,5158.8818915440825,-357.2074983688535,252.94010220376563,263.43147788831203,235.20842614992523,6012.162793701392,5654.955295332538,True,hit,hit,True,7.583333333333312,54,92,38,False
blue,blue_0,red_2,m0,50,600,5606.4566633663935,0.24202047331858995,13.866751676913752,1.635135399804044,93.68635734120822,5606.4566633663935,5580.776487655555,-535.9945084013116,254.83946819825172,265.1723762387669,241.28584221910103,6049.514342396877,5513.519833995565,True,hit,hit,True,8.550000000000004,50,93,43,False
blue,blue_0,red_0,m1,48,575,5373.591132972767,0.1168775080754878,6.6965879327316475,1.6901311235033374,96.83738020044532,5373.591132972767,5329.006457849749,-690.7762565108997,257.471386149872,263.692315898797,243.66945237242717,6041.431461612972,5350.655205102073,True,hit,hit,True,9.1166666666667,48,94,46,False
blue,blue_0,red_0,m2,59,702,4490.042064811952,0.05357928167541936,3.0698667093441596,1.664497599763651,95.3686874761129,4490.042064811952,4401.952340880752,-885.0386050310144,249.692628323836,271.7170201491513,232.09949761374816,5989.682538127561,5104.643933096547,True,hit,hit,True,7.299999999999979,59,95,36,False
